pygame 2.0.0 (SDL 2.0.12, python 3.8.5)
Hello from the pygame community. https://www.pygame.org/contribute.html
winner is 0
         47353192 function calls (46585617 primitive calls) in 77.424 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      254    0.001    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      252    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
    10592    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      362    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     3988    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     7275    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1911    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFBBE0CB810}
      868    0.001    0.000    0.070    0.000 genericpath.py:39(isdir)
    260/7    0.001    0.000    0.921    0.132 <frozen importlib._bootstrap>:650(_load_unlocked)
     3198    0.001    0.000    0.002    0.000 version.py:98(_compare)
      372    0.001    0.000    0.003    0.000 version.py:305(__str__)
      682    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
     2148    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      523    0.001    0.000    0.039    0.000 re.py:289(_compile)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
    274/7    0.001    0.000    0.925    0.132 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1338    0.001    0.000    0.023    0.000 version.py:48(parse)
       20    0.001    0.000    0.064    0.003 {built-in method builtins.sorted}
       21    0.001    0.000    0.003    0.000 __init__.py:313(namedtuple)
     4201    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
    11883    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
       46    0.001    0.000    0.041    0.001 __init__.py:1625(_get)
     7015    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      340    0.001    0.000    0.034    0.000 __init__.py:2067(<genexpr>)
